CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
06000990;SAONE A BELRUPT ;;930888;6781191;26;RGF93 / Lambert 93;88052;Belrupt;88;Vosges;44;Grand Est;FRDR699b;;;;;;;;U0000000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2020-01-21;;Pont de Belrupt;M;Station de mesure Manuelle;292;;;;
06000993;SAONE A JONVELLE ;;918248;6763595;26;RGF93 / Lambert 93;70291;Jonvelle;70;Haute-Saône;27;Bourgogne-Franche-Comté;DR695;;;;;;;;U0050000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2019-07-08;;Pont de Jonvelle;M;Station de mesure Manuelle;230;;;;
06000998;SAONE A MONTHUREUX-SUR-SAONE 2;;919249;6772736;26;RGF93 / Lambert 93;88310;Monthureux-sur-Saône;88;Vosges;44;Grand Est;DR698;;;;;;;;U0020000;U---0000;;2;Station qualité située sur un cours d'eau;;2007-10-26;;2019-10-29;;Pont de Mont de Savillon;M;Station de mesure Manuelle;241;;;;
06001000;SAONE A CENDRECOURT ;;918183;6752905;26;RGF93 / Lambert 93;70292;Jussey;70;Haute-Saône;27;Bourgogne-Franche-Comté;DR1806a;;;;;;;;U0140000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2019-10-29;;Pont D 46;M;Station de mesure Manuelle;213;;;;
06002500;SAONE A PORT-SUR-SAONE ;;927934;6736686;26;RGF93 / Lambert 93;70421;Port-sur-Saône;70;Haute-Saône;27;Bourgogne-Franche-Comté;DR1806a;;;;;;;;U0480000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2019-10-29;;Pont N 19 - amont agglomération - amont confluence Durgeon;M;Station de mesure Manuelle;208;;;;
06003600;SAONE A SCEY-SUR-SAONE-ET-ST-ALBI ;;923047;6733237;26;RGF93 / Lambert 93;70482;Scey-sur-Saône-et-Saint-Albin;70;Haute-Saône;27;Bourgogne-Franche-Comté;DR1806a;;;;;;;;U0600000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2019-11-18;;Pont D 3;M;Station de mesure Manuelle;210;;;;
06005500;SAONE A APREMONT 1;;891867;6702577;26;RGF93 / Lambert 93;70024;Apremont;70;Haute-Saône;27;Bourgogne-Franche-Comté;DR1806b;;;;;;;;U0830000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2021-11-08;;Pont D 269;M;Station de mesure Manuelle;190;;;;
06011000;SAONE A AUXONNE 1;;880364;6679858;26;RGF93 / Lambert 93;21639;Tillenay;21;Côte-d'Or;27;Bourgogne-Franche-Comté;DR1806b;;;;;;;;U1120000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2019-11-18;;Pont N 5;M;Station de mesure Manuelle;185;;;;
06017050;SAONE A CHARREY-SUR-SAONE ;;864314;6665970;26;RGF93 / Lambert 93;21089;Bonnencontre;21;Côte-d'Or;27;Bourgogne-Franche-Comté;DR1806c;;;;;;;;U1420000;U---0000;;2;Station qualité située sur un cours d'eau;;1900-01-01;;2020-06-16;;Pont D 34;M;Station de mesure Manuelle;180;;;;
06017070;SAONE A SEURRE ;;862869;6657400;26;RGF93 / Lambert 93;21607;Seurre;21;Côte-d'Or;27;Bourgogne-Franche-Comté;DR1806d;;;;;;;;U1420000;U---0000;;2;Station qualité située sur un cours d'eau;;2006-11-24;;2020-06-16;;Pont D 973;M;Station de mesure Manuelle;179;;;;
